PLAYER_NAME,PLAYER_ID,SEASON_ID,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,FG3%,PERSON_ID,POSITION,HEIGHT,WEIGHT,paint_shots_per_game,paint_fg_pct,corner_3_per_game,corner_3_pct,midrange_per_game,midrange_pct,above_break_3_per_game,above_break_3_pct,avg_shot_distance,max_shot_distance,clutch_fg_pct,games_played,total_shots,OFF_PRBALLHANDLER_FREQ,OFF_PRROLLMAN_FREQ,OFF_POSTUP_FREQ,OFF_SPOTUP_FREQ,OFF_OFFSCREEN_FREQ,OFF_CUT_FREQ,DEF_PRBALLHANDLER_FREQ,DEF_PRROLLMAN_FREQ,DEF_POSTUP_FREQ,Height_IN,PTS_per36,AST_per36,OREB_per36,DREB_per36,STL_per36,BLK_per36,TOV_per36,paint_shots_per_game_per36,corner_3_per_game_per36,midrange_per_game_per36,above_break_3_per_game_per36,Cluster
A'ja Wilson,1628932,22026,32.083333333333336,9.333333333333334,18.0,1.3333333333333333,2.4166666666666665,6.416666666666667,7.666666666666667,2.0,7.25,9.25,3.333333333333333,1.0833333333333333,2.333333333333333,2.6666666666666665,1.75,26.416666666666668,0.5185185185185186,0.8369565217391305,0.5517241379310345,1628932,C,6-4,195,11.083333333333334,0.5789473684210527,0.1666666666666666,0.5,4.5,0.3518518518518518,2.25,0.5555555555555556,10.092592592592592,26.0,0.4516129032258064,12.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,29.64155844155844,3.7402597402597397,2.244155844155844,8.135064935064934,1.2155844155844153,2.6181818181818177,2.992207792207792,12.436363636363636,0.18701298701298694,5.049350649350649,2.5246753246753246,6
Aaliyah Edwards,1642290,22026,21.125,4.375,8.25,0.125,0.5,2.0,3.0,1.5,2.5,4.0,0.625,1.25,0.375,2.0,2.375,10.875,0.5303030303030303,0.6666666666666666,0.25,1642290,F,6-3,206,6.571428571428571,0.5434782608695652,0.0,0.0,2.2857142857142856,0.5625,0.5714285714285714,0.25,8.045454545454545,24.0,0.6,7.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,18.532544378698226,1.0650887573964498,2.5562130177514795,4.260355029585799,2.1301775147928996,0.6390532544378699,3.408284023668639,11.198647506339814,0.0,3.8951817413355876,0.9737954353338969,0
Aicha Coulibaly,1642786,22026,14.714285714285714,1.2857142857142858,4.428571428571429,0.0,0.8571428571428571,2.4285714285714284,2.7142857142857144,0.7142857142857143,1.8571428571428568,2.571428571428572,0.7142857142857143,1.1428571428571428,0.1428571428571428,0.5714285714285714,2.0,5.0,0.2903225806451613,0.894736842105263,0.0,1642786,G,6-0,0,4.0,0.375,0.5,0.0,0.1666666666666666,0.0,0.5,0.0,7.0,24.0,0.3333333333333333,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,12.233009708737866,1.7475728155339807,1.7475728155339807,4.543689320388349,2.796116504854369,0.349514563106796,1.3980582524271845,9.786407766990292,1.2233009708737865,0.407766990291262,1.2233009708737865,3
Alanna Smith,1629501,22026,16.818181818181817,1.4545454545454546,4.2727272727272725,0.1818181818181818,1.9090909090909087,0.2727272727272727,0.4545454545454545,1.181818181818182,2.1818181818181817,3.363636363636364,1.7272727272727273,0.9090909090909092,0.4545454545454545,1.6363636363636365,2.727272727272727,3.363636363636364,0.3404255319148936,0.6,0.0952380952380952,1629501,F,6-4,177,2.0,0.5454545454545454,0.0909090909090909,0.0,0.3636363636363636,0.5,1.7272727272727273,0.1052631578947368,13.787234042553193,46.0,0.5,11.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,7.200000000000002,3.6972972972972977,2.5297297297297305,4.6702702702702705,1.9459459459459465,0.972972972972973,3.5027027027027033,4.281081081081082,0.1945945945945946,0.7783783783783784,3.6972972972972977,0
Alicia Florez,1643644,22026,18.33333333333333,1.5,6.0,0.1666666666666666,2.5,1.1666666666666667,2.0,0.8333333333333334,1.1666666666666667,2.0,3.0,0.8333333333333334,0.1666666666666666,1.5,2.833333333333333,4.333333333333333,0.25,0.5833333333333334,0.0666666666666666,1643644,G,5-9,166,2.833333333333333,0.2941176470588235,0.1666666666666666,0.0,0.6666666666666666,0.75,2.1666666666666665,0.0769230769230769,13.694444444444445,47.0,0.5,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,8.50909090909091,5.890909090909092,1.6363636363636367,2.2909090909090915,1.6363636363636367,0.3272727272727272,2.945454545454546,5.563636363636364,0.3272727272727272,1.3090909090909093,4.254545454545455,4
Aliyah Boston,1641648,22026,25.818181818181817,6.181818181818182,12.272727272727272,1.0909090909090908,2.636363636363636,3.909090909090909,4.454545454545454,2.272727272727273,5.909090909090909,8.181818181818182,2.4545454545454546,1.0909090909090908,1.2727272727272727,2.8181818181818183,3.727272727272727,17.363636363636363,0.5037037037037037,0.8775510204081634,0.4137931034482758,1641648,C-F,6-5,217,8.181818181818182,0.5555555555555556,0.0909090909090909,1.0,1.4545454545454546,0.375,2.5454545454545454,0.3928571428571428,9.48148148148148,28.0,0.4482758620689655,11.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,24.211267605633804,3.422535211267606,3.169014084507043,8.23943661971831,1.5211267605633803,1.7746478873239437,3.929577464788733,11.408450704225354,0.1267605633802817,2.0281690140845074,3.5492957746478875,6
Allisha Gray,1628277,22026,33.166666666666664,6.333333333333333,14.083333333333334,1.75,5.333333333333333,4.666666666666667,6.083333333333333,0.5,3.25,3.75,1.75,1.25,0.4166666666666667,1.5833333333333333,2.333333333333333,19.08333333333333,0.4497041420118343,0.767123287671233,0.328125,1628277,G,6-0,167,8.0,0.5520833333333334,0.75,0.2222222222222222,0.75,0.2222222222222222,4.583333333333333,0.3454545454545454,11.680473372781066,31.0,0.5,12.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,20.713567839195974,1.899497487437186,0.542713567839196,3.527638190954774,1.35678391959799,0.45226130653266333,1.7185929648241205,8.683417085427136,0.8140703517587939,0.8140703517587939,4.974874371859296,7
Alyssa Thomas,203826,22026,32.92307692307692,5.307692307692308,10.692307692307692,0.0,0.0,4.230769230769231,6.153846153846154,1.6923076923076923,5.538461538461538,7.230769230769231,7.846153846153846,1.7692307692307692,0.1538461538461538,3.692307692307693,2.4615384615384617,14.846153846153848,0.4964028776978417,0.6875,0.0,203826,F,6-2,203,9.615384615384617,0.504,0.0,0.0,1.0769230769230769,0.4285714285714285,0.0,0.0,5.892086330935252,19.0,0.6666666666666666,13.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,16.233644859813086,8.579439252336448,1.8504672897196262,6.05607476635514,1.9345794392523363,0.16822429906542052,4.037383177570094,10.514018691588786,0.0,1.1775700934579438,0.0,0
Anastasiia Olairi Kosu,1642797,22026,10.909090909090908,1.818181818181818,3.636363636363636,0.0,0.0,0.8181818181818182,0.9090909090909092,1.2727272727272727,1.0,2.272727272727273,0.6363636363636364,0.7272727272727273,0.5454545454545454,0.4545454545454545,1.2727272727272727,4.454545454545454,0.5,0.9000000000000001,0.0,1642797,F,6-1,200,3.4545454545454546,0.5263157894736842,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,3.1,16.0,0.5454545454545454,11.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,14.7,2.1,4.2,3.3000000000000003,2.4000000000000004,1.8,1.4999999999999998,11.4,0.0,0.6,0.0,0
Aneesah Morrow,1642800,22026,25.916666666666668,4.75,11.583333333333334,1.1666666666666667,3.8333333333333335,1.6666666666666667,2.6666666666666665,3.083333333333333,7.833333333333333,10.916666666666666,1.4166666666666667,0.8333333333333334,0.5833333333333334,2.083333333333333,2.25,12.333333333333334,0.4100719424460431,0.6250000000000001,0.3043478260869565,1642800,F,6-1,178,6.5,0.4487179487179487,0.0,0.0,1.25,0.5333333333333333,3.8333333333333335,0.3043478260869565,11.568345323741006,36.0,0.4166666666666667,12.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.131832797427652,1.967845659163987,4.282958199356912,10.88102893890675,1.157556270096463,0.8102893890675241,2.893890675241157,9.02893890675241,0.0,1.7363344051446945,5.32475884244373,2
